age,entry,final education,year,study load,job offer
27,15,GU,2019,600,1
34,50,GH,2021,600,2
35,5,GU,2021,1200,1
29,70,GH,2021,65,1
25,5,GU,2021,600,4
26,5,GU,2021,200,1
33,5,GU,2019,400,1
27,5,GU,2021,1200,4
31,5,GU,2020,800,1
29,70,GU,2021,800,4
28,70,GU,2020,800,4
22,5,GU,2019,65,1
23,30,GU,2021,800,1
30,30,GU,2022,1200,1
30,30,GU,2019,400,2
27,5,GU,2021,65,2
27,5,GU,2020,15,0
27,15,GU,2021,800,1
23,5,GU,2020,15,1
33,5,GU,2021,400,1
25,15,GU,2021,800,1
26,70,GH,2021,400,3
21,50,GU,2021,800,2
25,15,GU,2021,200,1
26,15,GU,2020,15,3
26,30,GU,2019,65,6
33,15,GH,2021,800,2
25,5,GH,2021,600,1
28,70,GH,2020,1200,4
34,5,GH,2018,600,1
31,5,GU,2019,65,2
38,5,GH,2022,65,1
24,15,GU,2022,200,1
32,30,GU,2020,1200,1
26,15,GU,2022,800,0
24,5,GU,2020,800,2
24,15,GH,2021,400,1
25,30,GU,2021,800,2
21,5,GU,2021,200,2
27,5,GU,2021,200,1
26,15,GU,2021,1200,2
31,50,GU,2021,800,2
26,30,GU,2021,400,1
33,5,GH,2018,200,1
26,5,GU,2021,1200,1
27,5,GU,2021,15,1
21,70,GU,2021,1000,4
27,5,GU,2017,400,2
27,30,GU,2021,600,8
28,30,GU,2021,600,0
25,5,GH,2021,200,1
25,5,GU,2021,1000,1
24,15,GU,2021,1200,3
27,30,GU,2020,15,8
22,5,GH,2021,65,2
36,15,GH,2022,400,0
31,5,GU,2021,400,4
25,30,GU,2021,800,2
28,5,GU,2021,200,3
23,5,GH,2021,600,2
24,5,GU,2020,400,0
28,5,GU,2018,15,2
25,5,GU,2021,65,3
33,5,GU,2021,1000,1
26,5,GU,2021,600,1
29,50,GU,2021,600,1
38,70,GU,2020,400,2
25,5,GU,2020,400,1
34,5,GH,2021,1000,1
21,5,GU,2022,65,0
28,5,GU,2020,600,1
24,70,GU,2020,400,2
33,5,GH,2022,1000,1
27,5,GU,2021,400,1
24,15,GU,2021,600,1
26,5,GU,2021,15,1
29,30,GH,2022,800,0
28,5,GU,2021,15,4
25,70,GU,2021,800,1
23,15,GU,2021,200,3
28,5,GU,2019,800,2
27,30,GU,2021,1000,2
31,15,GU,2021,1200,1
26,5,GU,2021,600,1
21,5,GU,2021,600,3
26,30,GU,2021,600,3
23,5,GU,2022,15,2
27,5,GU,2020,800,3
34,15,GH,2021,65,2
26,5,GU,2020,800,1
43,5,GU,2022,65,0
25,15,GU,2022,200,0
26,5,GU,2021,15,2
30,5,GH,2020,15,2
28,15,GU,2021,1200,1
23,15,GU,2022,65,0
24,70,GU,2021,1200,3
41,5,GH,2022,1000,1
23,5,GU,2021,800,1
25,5,GU,2019,400,1
25,15,GU,2021,400,1
30,70,GU,2021,1200,3
24,15,GU,2021,400,1
28,70,GU,2021,600,2
26,5,GU,2021,200,1
28,5,GU,2019,200,0
28,5,GU,2021,1200,1
25,50,GU,2021,400,2
28,5,GU,2019,800,2
25,15,GU,2020,400,1
24,5,GU,2021,400,3
34,70,GH,2021,400,2
27,5,GU,2021,65,3
24,5,GH,2021,200,2
22,5,GU,2021,65,1
26,5,GU,2019,200,2
27,5,GU,2018,400,1
27,5,GU,2021,65,1
28,5,GU,2019,200,2
24,5,GH,2020,15,2
24,70,GU,2020,200,1
34,70,GH,2019,600,2
27,50,GU,2017,400,1
30,5,GU,2022,400,0
27,70,GU,2021,800,1
22,5,GH,2020,800,2
25,5,GU,2021,1000,4
25,5,GU,2020,400,2
30,5,GU,2020,800,1
28,70,GU,2021,200,2
25,15,GU,2020,65,1
28,5,GU,2021,400,1
25,5,GU,2018,65,4
26,15,GU,2022,600,0
32,5,GH,2021,800,4
22,5,GU,2011,800,1
25,5,GH,2020,200,2
22,70,GU,2018,400,1
24,30,GH,2021,400,4
20,5,GU,2022,65,0
27,70,GU,2020,1000,4
18,5,GH,2015,1200,1
26,30,GH,2021,400,4
39,5,GH,2021,65,0
28,70,GU,2020,600,5
35,70,GU,2021,1200,1
30,15,GU,2021,1200,4
29,5,GU,2021,65,3
21,50,GU,2019,400,4
20,30,GU,2021,800,1
28,15,GU,2021,200,2
32,15,GU,2021,800,2
24,30,GU,2021,600,1
24,5,GU,2021,15,1
27,30,GU,2021,800,2
42,5,GH,2018,800,1
24,5,GU,2019,65,2
